Player,Left Team,Joined Team
Mattia Bani,Pro Vercelli,Chievo Verona
Andy Delort,Tigres UANL,Toulouse
Riccardo Orsolini,Ascoli,Juventus
Thomas Meunier,Club Brugge,Paris SG
Willian José,Maldonado,Real Sociedad
Ciaran Clark,Aston Villa,Newcastle
Pione Sisto,FC Midtjylland,Celta de Vigo
Luca Rizzo,Sampdoria,Bologna
Cecilio Domínguez,Cerro Porteño,América
Alfred Duncan,Sampdoria,Sassuolo
Eduardo Vargas,TSG Hoffenheim,Tigres UANL
Christian Bassogog,Aalborg BK,HN Jianye
Jeong-ho Hong,FC Augsburg,JS Suning
Bernardo,RB Salzburg,RB Leipzig
Fernando Llorente,Sevilla FC,Swansea
Mohamed Diamé,Hull City,Newcastle
Sebastián Coates,Sunderland,Sporting CP
Ragnar Sigurdsson,Krasnodar,Fulham
Julian Baumgartlinger,1.FSV Mainz 05,B. Leverkusen
Cristian Ansaldi,Zenit S-Pb,Genoa
Mauricio Isla,Juventus,Cagliari Calcio
Matías Kranevitter,Atlético Madrid,Sevilla FC
Felipe Pardo,SC Braga,Olympiacos
Matías Fernández,Fiorentina,AC Milan
Lucas Ocampos,Marseille,AC Milan
Nicola Leali,Juventus,Olympiacos
Gökhan Gönül,Fenerbahce,Besiktas
Miguel Veloso,Dynamo Kyiv,Genoa
Håvard Nordtveit,Bor. M'gladbach,West Ham
Neil Taylor,Swansea,Aston Villa
Mario Balotelli,Liverpool,OGC Nice
Pajtim Kasami,Olympiacos,Nottm Forest
Joselu,Stoke City,Dep. La Coruña
Alex Song,Barcelona,Rubin Kazan
Fredy Montero,TJ Teda,Vancouver
Aaron Tshibola,Reading,Aston Villa
DeAndre Yedlin,Tottenham,Newcastle
Adam Reach,Middlesbrough,Sheff Wed
Alfie Mawson,Barnsley FC,Swansea
Nélson Oliveira,Benfica,Norwich
Ashley Westwood,Aston Villa,Burnley
Franco Cervi,Rosario Central,Benfica
Florin Andone,Córdoba CF,Dep. La Coruña
Tiquinho Soares,Vit. Guimarães,FC Porto
Marlos Moreno,Atl. Nacional,Man City
Walter Montoya,Rosario Central,Sevilla FC
Mateo Cassierra,Deportivo Cali,Ajax
Davinson Sánchez,Atl. Nacional,Ajax
Léo Bonatini,Estoril Praia,Al-Hilal
Song Wang,GZ R&F,JS Suning
Douglas,Dnipro,São Paulo
Nicolás Lodeiro,Boca Juniors,Seattle
Zhen Guan,SJZ Ever Bright,SZ FC
Clément Lenglet,AS Nancy,Sevilla FC
Garry Rodrigues,PAOK Salonika,Galatasaray
Markus Henriksen,AZ Alkmaar,Hull City
Paddy McNair,Man Utd,Sunderland
Shane Duffy,Blackburn,Brighton
Jonathan Schmid,TSG Hoffenheim,FC Augsburg
Adlène Guédioura,Watford,Middlesbrough
Hiroshi Kiyotake,Sevilla FC,Cerezo Osaka
László Bénes,MSK Zilina,Bor. M'gladbach
Ragnar Klavan,FC Augsburg,Liverpool
Jean-Philippe Gbamin,Lens,1.FSV Mainz 05
Levin Öztunali,B. Leverkusen,1.FSV Mainz 05
Benjamin Pavard,LOSC Lille,VfB Stuttgart
Serge Gnabry,Arsenal,Werder Bremen
Bastos,Rostov,Lazio
Pierluigi Gollini,Hellas Verona,Aston Villa
Kevin Lasagna,Carpi,Udinese Calcio
Wylan Cyprien,Lens,OGC Nice
Ramadan Sobhi,El Ahly,Stoke City
Lukas Rupp,VfB Stuttgart,TSG Hoffenheim
Viktor Fischer,Ajax,Middlesbrough
Bartosz Kapustka,Cracovia,Leicester
Godfred Donsah,Cagliari Calcio,Bologna
Keko Gontán,SD Eibar,Málaga CF
Alan Kardec,São Paulo,CQ Dangdai Lif.
Samu García,Villarreal,Rubin Kazan
Cristiano Biraghi,Inter,Pescara
Marinho,EC Vitória,CC Yatai
Federico Valverde,Peñarol,RM Castilla
Sergio Díaz,Cerro Porteño,RM Castilla
Bart Ramselaar,FC Utrecht,PSV Eindhoven
Mile Jedinak,Crystal Palace,Aston Villa
Luciano Narsingh,PSV Eindhoven,Swansea
Serdar Aziz,Bursaspor,Galatasaray
Éder,Swansea,LOSC Lille
Alfred Finnbogason,Real Sociedad,FC Augsburg
Jozabed Sánchez,Rayo Vallecano,Fulham
Mehdi Carcela-González,Benfica,Granada CF
Lorenzo De Silvestri,Sampdoria,Torino
Ogenyi Onazi,Lazio,Trabzonspor
Luca Cigarini,Atalanta BC,Sampdoria
Carlos Zambrano,E. Frankfurt,Rubin Kazan
Roberto,Olympiacos,Espanyol
Ahmet Çalık,Genclerbirligi,Galatasaray
Elias,Sporting CP,Atlético-MG
Andrea Ranocchia,Inter,Hull City
Pablo Sarabia,Getafe,Sevilla FC
Ivan Novoseltsev,Rostov,Zenit S-Pb
Omar Elabdellaoui,Olympiacos,Hull City
Josué,FC Porto,Galatasaray
Leandro Castán,Sampdoria,Torino
İsmail Köybaşı,Besiktas,Fenerbahce
Ryan Babel,Dep. La Coruña,Besiktas
Jores Okore,Aston Villa,FC Copenhagen
Luiz Adriano,AC Milan,Spartak Moscow
Javier Manquillo,Atlético Madrid,Sunderland
Emmanuel Rivière,Newcastle,CA Osasuna
Hernán Toledo,Maldonado,Fiorentina
Bastian Schweinsteiger,Man Utd,Chicago
Munas Dabbur,RB Salzburg,Grasshoppers
Ola John,Benfica,Wolves
Denílson,Al-Wahda,Cruzeiro
Henri Saivet,Newcastle,Saint-Étienne
Gastón Ramírez,Southampton,Middlesbrough
Ola John,Benfica,Dep. La Coruña
Ryan Babel,Al-Ain FC,Dep. La Coruña
Felipe Pardo,Olympiacos,FC Nantes
Maciej Rybus,Terek Grozny,Olympique Lyon
Sandro Ramírez,Barcelona,Málaga CF
Jon Flanagan,Liverpool,Burnley
Patrick Bamford,Chelsea,Burnley
Pedro León,Getafe,SD Eibar
Adama Traoré,Monaco,Rio Ave
Marlon,Fluminense,Barcelona B
Iuri Medeiros,Sporting CP,Boavista
Lassana Diarra,Marseille,Al-Jazira
Alfred N'Diaye,Villarreal,Hull City
Mamadou Obbi Oulare,Watford,Zulte Waregem
Juan Fernando Quintero,FC Porto,Indep. Medellín
Adrian Mierzejewski,Al-Nassr,Sharjah FC
Adrián Ramos,Bor. Dortmund,Granada CF
Sergi Samper,Barcelona,Granada CF
Aleksandr Belenov,Anzhi,Ufa
Cheik Tioté,Newcastle,BJ Enterprises
Xiaolong Wang,GZ R&F,TJ Quanjian
Alan Ruiz,San Lorenzo,Sporting CP
Răzvan Marin,FC Viitorul,Standard Liège
Cengiz Ünder,Altinordu,Basaksehir
Jianqing Mao,SJZ Ever Bright,SH Shenhua
Diego,Fenerbahce,Flamengo
Ikechi Anya,Watford,Derby
Alex McCarthy,Crystal Palace,Southampton
Kerem Demirbay,Hamburger SV,TSG Hoffenheim
Allan Nyom,Watford,West Brom
Martín Cauteruccio,San Lorenzo,CD Cruz Azul
Martin Olsson,Norwich,Swansea
Eren Derdiyok,Kasimpasa,Galatasaray
Emrah Başsan,Antalyaspor,Galatasaray
Peng Lü,BJ Enterprises,BJ Guoan
Sebastián Blanco,San Lorenzo,Portland
Stipe Perica,Chelsea,Udinese Calcio
Michael Santos,River Plate,Málaga CF
Artur Ioniță,Hellas Verona,Cagliari Calcio
Nicolas de Préville,Stade Reims,KV Oostende
Junshuai Liu,Torreense,SD Luneng
Naldo,Sporting CP,Krasnodar
Josef Martínez,Torino,Atlanta
Neeskens Kebano,KRC Genk,Fulham
Florian Kainz,Rapid Vienna,Werder Bremen
Aïssa Mandi,Stade Reims,Real Betis
Tjaronn Chery,QPR,GZ H. Zhicheng
Gabriel Mercado,River Plate,Sevilla FC
Héctor Villalba,San Lorenzo,Atlanta
Kerim Frei,Besiktas,Birmingham
Carlos Mané,Sporting CP,VfB Stuttgart
Tomas Hubocan,Dinamo Moscow,Marseille
Omar El Kaddouri,Napoli,FC Empoli
Mario Pasalic,Chelsea,AC Milan
Valdívia,Internacional,Atlético-MG
Gökhan Inler,Leicester,Besiktas
Óscar Scarione,Kasimpasa,M. Tel Aviv
William Vainqueur,AS Roma,Marseille
Vadis Odjidja-Ofoe,Norwich,Legia Warszawa
Hernán Toledo,Maldonado,Lanús
José Mauri,AC Milan,FC Empoli
Facundo Roncaglia,Fiorentina,Celta de Vigo
Fernando Bob,Internacional,Ponte Preta
Cheick Diabaté,G. Bordeaux,Osmanlispor
Héctor Villalba,Atlanta,Club Tijuana
Asamoah Gyan,SH SIPG,Al-Ahli (UAE)
Darío Benedetto,América,Boca Juniors
Oscar Benítez,Lanús,Benfica
Rafael Sóbis,Tigres UANL,Cruzeiro
José Juan Vázquez,León,Chivas
Boyu Yang,SH SIPG,JS Suning
Tiago Ilori,Liverpool,Reading
Ezequiel Ponce,AS Roma,Granada CF
Balázs Dzsudzsák,Bursaspor,Al-Wahda
Ondrej Duda,Legia Warszawa,Hertha BSC
Matej Mitrovic,HNK Rijeka,Besiktas
Sam Johnson,Djurgården,WH Zall
Andrés Chávez,Boca Juniors,São Paulo
Scott Sinclair,Aston Villa,Celtic
Valerio Verre,Pescara,Sampdoria
Jean-Philippe Mateta,LB Châteauroux,Olympique Lyon
David Marshall,Cardiff,Hull City
Gianluca Scamacca,PSV U19,Sassuolo U19
Shanping Yang,Liaoning FC,TJ Quanjian
José Angulo,Independiente,Granada CF
Takuma Asano,Sanf. Hiroshima,Arsenal
Coke,Sevilla FC,FC Schalke 04
Bobby Wood,Union Berlin,Hamburger SV
Bruno Henrique,VfL Wolfsburg,Santos
Davide Brivio,Atalanta BC,Genoa
Jordan Lukaku,KV Oostende,Lazio
Luis Alberto,Liverpool,Lazio
Romain Saïss,Angers SCO,Wolves
Bryan Dabo,Montpellier,Saint-Étienne
Paul-José Mpoku,Standard Liège,Chievo Verona
Younès Kaboul,Sunderland,Watford
Patrik Schick,Sparta Prague,Sampdoria
Álvaro González,Espanyol,Villarreal
Pierre Zebli,Perugia,KRC Genk
Moritz Bauer,Grasshoppers,Rubin Kazan
Valerio Verre,Udinese Calcio,Pescara
Jorge Benítez,Olympiacos,CD Cruz Azul
Gian Marco Ferrari,Crotone,Sassuolo
Stanislav Kritsyuk,SC Braga,Krasnodar
Simone Moschin,Chievo Verona,Pro Vercelli
Ladislav Krejci,Sparta Prague,Bologna
Éder Balanta,River Plate,FC Basel
Felipe Gutiérrez,Twente FC,Real Betis
Aleksandr Selikhov,Amkar Perm,Spartak Moscow
Mirko Valdifiori,Napoli,Torino
Adrien Trébel,Standard Liège,RSC Anderlecht
Kevin Vogt,1.FC Köln,TSG Hoffenheim
Ervin Zukanovic,Sampdoria,AS Roma
Antonio Barragán,Valencia,Middlesbrough
Adriano,Barcelona,Besiktas
Oleksandr Zinchenko,Ufa,Man City
Marcelo,Hannover 96,Besiktas
Bertrand Traoré,Chelsea,Ajax
Victor Cuesta,Independiente,Internacional
Sofiane Hanni,KV Mechelen,RSC Anderlecht
Grégory Sertic,G. Bordeaux,Marseille
Emmanuel Más,San Lorenzo,Trabzonspor
Emanuele Giaccherini,Sunderland,Napoli
Marco Höger,FC Schalke 04,1.FC Köln
André Felipe,Sporting CP,Sport Recife
André Felipe,Corinthians,Sporting CP
Javi Fuego,Valencia,Espanyol
Gabriel Torje,Udinese Calcio,Terek Grozny
Artur Jedrzejczyk,Krasnodar,Legia Warszawa
Alen Halilovic,Hamburger SV,UD Las Palmas
Duje Cop,Cagliari Calcio,Sporting Gijón
Alberto Grassi,Napoli,Atalanta BC
Olcay Şahan,Besiktas,Trabzonspor
Leonel Vangioni,River Plate,AC Milan
Thomas Vermaelen,Barcelona,AS Roma
Michael Hector,Chelsea,E. Frankfurt
Shani Tarashaj,Everton,E. Frankfurt
Naldo,VfL Wolfsburg,FC Schalke 04
Josip Brekalo,VfL Wolfsburg,VfB Stuttgart
Lamine Sané,G. Bordeaux,Werder Bremen
Emrah Başsan,Galatasaray,C. Rizespor
Nigel de Jong,Los Angeles,Galatasaray
Rubén Pardo,Real Sociedad,Real Betis
Matías Nahuel,Villarreal,Real Betis
Clayton,Atlético-MG,Corinthians
Jason Denayer,Man City,Sunderland
Cheick Diabaté,Osmanlispor,FC Metz
Emrah Başsan,Galatasaray,Fortuna Sittard
Aiden McGeady,Everton,Preston
Cícero,Fluminense,São Paulo
Joaquín Larrivey,FC Baniyas,JEF Utd. Chiba
Diego Reyes,FC Porto,Espanyol
Pierluigi Gollini,Aston Villa,Atalanta BC
Fayçal Fajr,Elche CF,Dep. La Coruña
Carles Gil,Aston Villa,Dep. La Coruña
Igor Denisov,Dinamo Moscow,Loko Moskau
Jordon Mutch,Crystal Palace,Reading
Reece Oxford,West Ham,Reading
Callum McManaman,West Brom,Sheff Wed
Filip Djuricic,Benfica,Sampdoria
Adrián López,FC Porto,Villarreal
Adalberto Peñaranda,Watford,Málaga CF
Marcelo Barovero,River Plate,Necaxa
Glenn Murray,Bournemouth,Brighton
Aleksey Ionov,Dinamo Moscow,CSKA Moscow
Lacina Traoré,Monaco,CSKA Moscow
Aleksandr Belenov,Kuban Krasnodar,Anzhi
Valerio Verre,Sampdoria,Pescara
Aykut Demir,Trabzonspor,Osmanlispor
Adam Maher,PSV Eindhoven,Osmanlispor
Ishak Belfodil,FC Baniyas,Standard Liège
Alberto Bueno,FC Porto,Granada CF
Tommy Elphick,Bournemouth,Aston Villa
Serhou Guirassy,LOSC Lille,1.FC Köln
Leonardo,Jeonbuk Hyundai,Al-Jazira
Nicolás Castillo,Club Brugge,UNAM Pumas
Ervin Zukanovic,AS Roma,Atalanta BC
Federico Viviani,Hellas Verona,Bologna
Jaime Ayoví,Godoy Cruz,BJ Renhe
Mikel Merino,CA Osasuna,Bor. Dortmund
Adriano Michael Jackson,FC Seoul,SJZ Ever Bright
Lovre Kalinic,Hajduk Split,KAA Gent
Stefan Aigner,E. Frankfurt,1860 Munich
Luan,Vasco da Gama,Palmeiras
Jimmy Durmaz,Olympiacos,Toulouse
Rony,Cruzeiro,Albirex Niigata
Brad Smith,Liverpool,Bournemouth
Brice Dja Djedje,Marseille,Watford
Almen Abdi,Watford,Sheff Wed
Sebastián Palacios,Boca Juniors,CA Talleres
Rodrigo Gómez,Independiente,Toluca
Victor Osimhen,Ult. Strikers,VfL Wolfsburg
Vidar Örn Kjartansson,Malmö FF,M. Tel Aviv
Yuya Kubo,BSC Young Boys,KAA Gent
Aleksandr Samedov,Loko Moskau,Spartak Moscow
Nicolai Jörgensen,FC Copenhagen,Feyenoord
Bruno Paulista,EC Bahia,Sporting CP
Eboue Kouassi,Krasnodar,Celtic
Kemar Roofe,Oxford United,Leeds
James Bree,Barnsley FC,Aston Villa
Conor Hourihane,Barnsley FC,Aston Villa
Albert Adomah,Middlesbrough,Aston Villa
Seko Fofana,Man City U23,Udinese Calcio
Lee Tomlin,Bournemouth,Bristol City
Daryl Murphy,Ipswich,Newcastle
Andrey Lunev,Ufa,Zenit S-Pb
Róbert Mak,PAOK Salonika,Zenit S-Pb
Bruno Henrique,US Palermo,Palmeiras
Farès Bahlouli,Monaco,LOSC Lille
Jonathan Rodríguez,Peñarol,Santos Laguna
Arturo González,Atlas,Monterrey
Marcel Tisserand,Monaco,FC Ingolstadt
Timo Letschert,FC Utrecht,Sassuolo
Kelechi Nwakali,Diamond Academy,Arsenal U23
Ali Awagi,Al-Wehda,Al-Ahli
Dejan Kulusevski,IF Bromma U17,Atalanta U17
Younousse Sankharé,LOSC Lille,G. Bordeaux
Nemanja Nikolics,Legia Warszawa,Chicago
Yohan Mollo,KS Samara,Zenit S-Pb
Tomás Pina,Villarreal,Club Brugge
David Nugent,Middlesbrough,Derby
Delvin N'Dinga,Monaco,Loko Moskau
Júnior Moraes,Dynamo Kyiv,TJ Quanjian
Thomas Delaney,FC Copenhagen,Werder Bremen
Tino-Sven Susic,Hajduk Split,KRC Genk
Romain Alessandrini,Marseille,Los Angeles
Blerim Dzemaili,Galatasaray,Bologna
Hyun-jun Suk,FC Porto,Trabzonspor
Paul-José Mpoku,Chievo Verona,Panathinaikos
Teófilo Gutiérrez,Sporting CP,Rosario Central
Deyverson,Levante,Alavés
Andrés Cubas,Boca Juniors,Pescara
Clément Grenier,Olympique Lyon,AS Roma
Aatif Chahechouhe,Sivasspor,Fenerbahce
Aleksandr Sapeta,Ural,Dinamo Moscow
Jérémy Pied,OGC Nice,Southampton
Valeri Qazaishvili,Vitesse,Legia Warszawa
Clément Chantôme,G. Bordeaux,Stade Rennais
Adilson,Terek Grozny,Atlético-MG
Oleksandr Gladkyi,Shakhtar D.,Dynamo Kyiv
Walter Benítez,Quilmes,OGC Nice
Wellington Nem,Shakhtar D.,São Paulo
Sandro,QPR,Antalyaspor
Mostapha El Kabir,Sagan Tosu,Antalyaspor
Leandro Damião,Santos,Flamengo
Víctor Valdés,Man Utd,Middlesbrough
Jesús Gámez,Atlético Madrid,Newcastle
Marçal,Benfica,Guingamp
Bruno Gama,Dnipro,Dep. La Coruña
Michel Bastos,São Paulo,Palmeiras
Ricardo Kishna,Lazio,LOSC Lille
Younousse Sankharé,Guingamp,LOSC Lille
Jony,Sporting Gijón,Málaga CF
Jean-Sylvain Babin,Granada CF,Sporting Gijón
Diego Lopes,Benfica,América-MG
Gianluca Caprari,Inter,Pescara
Pelé,Benfica B,Feirense
Derley,Benfica,Chiapas FC
Carlos Peña,Chivas,León
Fidel Martínez,UNAM Pumas,Atlas
Ismail Aissati,Terek Grozny,Alanyaspor
Gabriel Silva,Udinese Calcio,Granada CF
Franck Tabanou,Swansea,Granada CF
Mostapha El Kabir,Genclerbirligi,Sagan Tosu
Henri Lansbury,Nottm Forest,Aston Villa
Rui Fonte,Benfica,SC Braga
Bowen Huang,SH Shenhua,WH Zall
Michael Olunga,Djurgården,GZ H. Zhicheng
Kahraba,Zamalek,Al-Ittihad
Sebastien De Maio,Genoa,RSC Anderlecht
Bruno Henrique,Corinthians,US Palermo
Lorenzo Crisetig,Inter,Bologna
Lorenzo Crisetig,Bologna,Crotone
Orlando Berrío,Atl. Nacional,Flamengo
Luis Pedro Cavanda,Trabzonspor,Galatasaray
Marcelo Lomba,EC Bahia,Internacional
Emre Çolak,Galatasaray,Dep. La Coruña
Willian,Cruzeiro,Palmeiras
Mohamed Elyounoussi,Molde FK,FC Basel
Jón Dadi Bödvarsson,1.FC K'lautern,Wolves
Nano Mesa,CD Tenerife,SD Eibar
Karol Linetty,Lech Poznan,Sampdoria
Matías Suárez,RSC Anderlecht,Belgrano
Bogdan Stancu,Genclerbirligi,Bursaspor
John Chibuike,Gaziantepspor,AIK
Diego Biseswar,Kayserispor,PAOK Salonika
Dani Torres,Indep. Medellín,Alavés
Luciano Lollo,Racing Club,River Plate
Martín Rodríguez,Colo-Colo,CD Cruz Azul
Bruno Valdez,Cerro Porteño,América
Cléber Reis,Hamburger SV,Santos
Rob Holding,Bolton,Arsenal
Gerrit Holtmann,E. Braunschweig,1.FSV Mainz 05
Dennis Appiah,SM Caen,RSC Anderlecht
Alexandru Chipciu,Steaua Bucharest,RSC Anderlecht
Simon Terodde,VfL Bochum,VfB Stuttgart
Borja Mayoral,Real Madrid,VfL Wolfsburg
Tolga Ciğerci,Hertha BSC,Galatasaray
Youssef Aït Bennasser,AS Nancy,Monaco
Uros Matic,Sturm Graz,FC Copenhagen
Marcelo Larrondo,Rosario Central,River Plate
Roman Zobnin,Dinamo Moscow,Spartak Moscow
Ewandro Costa,São Paulo,Udinese Calcio
Léo Lacroix,FC Sion,Saint-Étienne
Marko Marin,Chelsea,Olympiacos
Igor Portnyagin,Rubin Kazan,Loko Moskau
Juninho,Coritiba FC,Palmeiras
Idrissa Sylla,RSC Anderlecht,QPR
Gabriel Magalhães,Avaí FC,LOSC Lille
Sergi Canós,Liverpool U23,Norwich
Jóhann Berg Gudmundsson,Charlton,Burnley
Caio Lucas,Kashima Antlers,Al-Ain FC
Wellington Silva,Arsenal,Fluminense
Yura Movsisyan,Spartak Moscow,Salt Lake
Júnior Caiçara,FC Schalke 04,Basaksehir
Toni Martínez,Valencia U19,West Ham U21
Inácio,São Paulo,FC Porto B
Tomás De Vincenti,APOEL Nicosia,Al-Shabab
Christian Clemens,1.FSV Mainz 05,1.FC Köln
Fabio Quagliarella,Torino,Sampdoria
Jonas Martin,Montpellier,Real Betis
Luc Castaignos,E. Frankfurt,Sporting CP
Fábio,Cardiff,Middlesbrough
Stefan Johansen,Celtic,Fulham
Marc Wilson,Stoke City,Bournemouth
Emerson Palmieri,Santos,AS Roma
Gabriel,Monte Azul,Corinthians
Bryan Oviedo,Everton,Sunderland
Birkir Bjarnason,FC Basel,Aston Villa
Álvaro Vázquez,Getafe,Espanyol
Luis Hernández,Leicester,Málaga CF
Florent Hadergjonaj,BSC Young Boys,FC Ingolstadt
Ante Budimir,Crotone,Sampdoria
Niklas Moisander,Sampdoria,Werder Bremen
Pedro Henrique,Stade Rennais,PAOK Salonika
Diogo Figueiras,Sevilla FC,Olympiacos
Marcelo Meli,Boca Juniors,Racing Club
Henrique Dourado,Mirassol-SP,Fluminense
Fernando Varela,Steaua Bucharest,PAOK Salonika
Douglas,Trabzonspor,Sporting CP
Sebastien De Maio,RSC Anderlecht,Fiorentina
Moustapha Sall,Saint-Étienne,Al-Arabi SC
Ante Budimir,FC St. Pauli,Crotone
Ari,Krasnodar,Loko Moskau
Ignacio Malcorra,CA Unión,Club Tijuana
Kolbeinn Sigthórsson,FC Nantes,Galatasaray
Pavel Mogilevets,Zenit S-Pb,Rostov
Tabaré Viúdez,River Plate,Nacional
Ibragim Tsallagov,KS Samara,Zenit S-Pb
Víctor Camarasa,Levante,Alavés
Marcelo Meli,Boca Juniors,Sporting CP
Jesús Vallejo,Real Madrid,E. Frankfurt
Holger Badstuber,Bayern Munich,FC Schalke 04
Jérémy Toulalan,Monaco,G. Bordeaux
Roman Zozulya,Dnipro,Real Betis
Oscar Benítez,Benfica,Boca Juniors
Ricardo Centurión,São Paulo,Boca Juniors
Lucas Orbán,Valencia,Genoa
Christopher Samba,Dinamo Moscow,Panathinaikos
Enes Ünal,Man City,Twente FC
Mevlüt Erdinç,Hannover 96,FC Metz
Moussa Dembélé,Fulham,Celtic
Modou Barrow,Swansea,Leeds
Mamadou Obbi Oulare,Watford,Willem II
Andre Wisdom,Liverpool,RB Salzburg
Adalberto Peñaranda,Watford,Udinese Calcio
Marcos Guilherme,Atlético-PR,Dinamo Zagreb
Carlos Salcedo,Chivas,Fiorentina
Marko Livaja,Rubin Kazan,UD Las Palmas
Muhammet Demir,Trabzonspor,Gaziantepspor
Andreas Weimann,Derby,Wolves
Cameron Borthwick-Jackson,Man Utd U23,Wolves
Rômulo,Spartak Moscow,Flamengo
Brad Guzan,Aston Villa,Middlesbrough
Yevgen Seleznyov,Kuban Krasnodar,Shakhtar D.
Baptiste Guillaume,LOSC Lille,R. Strasbourg
Thiago Heleno,Maldonado,Atlético-PR
Aaron Tshibola,Aston Villa,Nottm Forest
Anthony Mounier,Bologna,Atalanta BC
Jonathan de Guzmán,Napoli,Chievo Verona
Kris Commons,Celtic,Hibernian FC
Solomon Kvirkvelia,Rubin Kazan,Loko Moskau
Ergys Kaçe,PAOK Salonika,Viktoria Plzen
Muriqui,Al-Sadd SC,Vasco da Gama
Marc Wilson,Bournemouth,West Brom
Brendan Galloway,Everton,West Brom
Lewis Grabban,Bournemouth,Reading
Steven Fletcher,Sunderland,Sheff Wed
Martín Montoya,Barcelona,Valencia
Oscar Benítez,Benfica,SC Braga
Diego Llorente,Real Madrid,Málaga CF
Raffaele Di Gennaro,Inter,Ternana
Mathew Ryan,Valencia,KRC Genk
Alberto Bueno,FC Porto,CD Leganés
Ibrahima Balde,Kuban Krasnodar,Stade Reims
Fran Rico,Granada CF,SD Eibar
Tino Costa,Spartak Moscow,San Lorenzo
Matías Pisano,Cruzeiro,Santa Cruz-PE
Lacina Traoré,Monaco,Sporting Gijón
Víctor Rodríguez,Elche CF,Sporting Gijón
Moi Gómez,Villarreal,Sporting Gijón
Sergey Tkachev,CSKA Moscow,KS Samara
Yohan Mollo,Saint-Étienne,KS Samara
Xandão,Kuban Krasnodar,Anzhi
Bryan Cristante,Benfica,Pescara
Alberto Aquilani,Sporting CP,Pescara
Enzo Roco,O'Higgins,CD Cruz Azul
Magomed Ozdoev,Rubin Kazan,Terek Grozny
Blerim Dzemaili,Bologna,Montreal
Diego Lopes,Benfica,Panetolikos
Marcelo Moreno,CC Yatai,WH Zall
Felipe Gutiérrez,Real Betis,Internacional
Danilo Silva,Dynamo Kyiv,Internacional
Eren Albayrak,C. Rizespor,Basaksehir
Saúl Berjón,SD Eibar,UNAM Pumas
Sefa Yılmaz,Trabzonspor,Alanyaspor
Vágner Love,Monaco,Alanyaspor
Panagiotis Kone,Udinese Calcio,Granada CF
Guillermo Ochoa,Málaga CF,Granada CF
Miguel Lopes,Sporting CP,Akhisar Belediye
Maxi Moralez,León,New York City
Ademilson,São Paulo,Gamba Osaka
Marcelo Hermes,Grêmio,Benfica
Kevin Diks,Vitesse,Fiorentina
Zach Clough,Bolton,Nottm Forest
Isaac Hayden,Arsenal U23,Newcastle
Alejandro Guerra,Atl. Nacional,Palmeiras
Aleksandar Prijovic,Legia Warszawa,PAOK Salonika
Sergi Canós,Norwich,Brentford
Ángel Mena,CS Emelec,CD Cruz Azul
Achraf Lazaar,US Palermo,Newcastle
Christopher Jullien,SC Freiburg,Toulouse
Sandro Wagner,Darmstadt 98,TSG Hoffenheim
Jonathan Cristaldo,Palmeiras,CD Cruz Azul
Jeisson Vargas,U. Católica,Montreal
Hugo Rodallega,Akhisar Belediye,Trabzonspor
Varela,FC Porto,Kayserispor
Federico Bonazzoli,Sampdoria,Brescia
Ersan Gülüm,HB CFFC,Besiktas
Jesús Molina,Santos Laguna,Monterrey
Koray Altınay,C. Rizespor,Osmanlispor
Agustín Marchesín,Santos Laguna,América
Kevin Lasagna,Udinese Calcio,Carpi
Cristian Erbes,Boca Juniors,Tiburones Rojos
Mauro Zárate,Fiorentina,Watford
Yuanyi Li,GZ Evergrande,TJ Teda
Aleksandar Katai,Red Star,Alavés
Iliass Bel Hassani,Heracles Almelo,AZ Alkmaar
Uendel,Corinthians,Internacional
Ewerton,Sporting CP,1.FC K'lautern
Charlie Mulgrew,Celtic,Blackburn
Marlone,Corinthians,Atlético-MG
Anderson,Internacional,Coritiba FC
Kelvin,FC Porto,Vasco da Gama
Mitchell Dijks,Ajax,Norwich
Walter,FC Porto,Atlético-GO
Yohan Tavares,Estoril Praia,Bangkok Utd.
Bruno Moreira,Paços Ferreira,Buriram Utd.
Mauricio Cuero,Levante,Santos Laguna
Vaclav Kadlec,FC Midtjylland,Sparta Prague
Iván Rossi,Banfield,River Plate
Maximiliano Meza,Gimnasia,Independiente
Long Song,QD Jonoon,SD Luneng
Ramiro Carrera,Arsenal Sarandí,Gimnasia
Hyun-jun Suk,FC Porto,Debrecen
Ilya Maksimov,Anzhi,Arsenal Tula
Fabián Castillo,Dallas,Trabzonspor
Pedro Pereira,Sampdoria,Benfica
Fernando Zuqui,Godoy Cruz,Boca Juniors
Wilmar Barrios,Deportes Tolima,Boca Juniors
Jacopo Sala,Hellas Verona,Sampdoria
Ali Ghazal,Nacional,GZ H. Zhicheng
Leandro González Pírez,Estudiantes LP,Atlanta
Erkan Zengin,Trabzonspor,Eskisehirspor
Alberto Cerri,Juventus,SPAL
Welliton,Mersin IY,Kayserispor
Junior Ajayi,CS Sfaxien,El Ahly
Abdullahi Nura,Spezia U19,AS Roma
Umar Sadiq,Spezia Calcio,AS Roma
Robin Quaison,US Palermo,1.FSV Mainz 05
Jonas Lössl,Guingamp,1.FSV Mainz 05
Paul Bernardoni,Troyes,G. Bordeaux
François Kamano,SC Bastia,G. Bordeaux
Alexander Esswein,FC Augsburg,Hertha BSC
Ribamar,Botafogo,1860 Munich
